origin,destination,distance,duration,elevation_change
CH-02,CD-01,1.582010566,8.83333333333,-89.6880912781
CH-02,CBD-04,1.509310159,10.0,-89.6751308441
CH-03,BT-01,2.045553332,15.2833333333,-89.4583930969
CH-03,BT-03,2.051145671,14.6333333333,-89.228672266
CH-03,BT-04,1.452144027,9.91666666667,-89.1231832504
CH-03,BT-05,1.631098875,14.15,-88.8136482239
CH-03,CBD-13,1.320413375,9.95,-88.7286148071
CH-03,CBD-03,1.160099657,8.8,-88.445848465
CH-03,CBD-07,1.861006145,15.7666666667,-88.3812828064
CH-03,CBD-06,1.664031538,11.8166666667,-88.2202568054
CH-03,CH-01,0.331190743,3.13333333333,-87.6839447021
CH-03,CH-02,0.283345176,2.76666666667,-87.3361887932
CH-03,CBD-05,1.833665821,13.7333333333,-87.2365875244
CH-03,CD-01,1.886482356,11.7,-87.1188163757
CH-03,CBD-04,1.341539989,10.5666666667,-86.7836065292
CH-05,BT-01,2.465600128,15.6666666667,-86.6660308838
CH-05,BT-03,2.470571096,15.0166666667,-86.6598472595
CH-05,BT-04,1.872190823,10.2833333333,-86.6373100281
CH-05,BT-05,2.051145671,14.5333333333,-86.470249176
CH-05,CBD-13,1.740460171,10.3333333333,-86.2403125763
CH-05,CBD-03,1.580146453,9.18333333333,-86.2397546768
CH-05,CBD-07,1.843607757,13.7666666667,-86.2351970673
CH-05,CBD-06,2.084078334,12.1833333333,-85.9720315933
CH-05,CH-01,0.741916974,5.26666666667,-85.8898582458
CH-05,CH-02,0.485912122,2.73333333333,-85.5215682983
CH-05,CH-03,0.797840364,3.93333333333,-85.216012001
CH-05,CBD-05,2.253712617,14.1,-85.2097949982
CH-05,CD-01,1.474513383,6.8,-85.0154151917
CH-05,CBD-04,1.761586785,10.9333333333,-84.5830497742
CH-06,BT-01,2.127574304,14.25,-84.3876609802
CH-06,BT-03,2.132545272,13.6,-84.1454162598
CH-06,BT-04,1.534164999,8.86666666667,-84.0524511337
CH-06,BT-05,1.713119847,13.1166666667,-83.9061546326
CH-06,CBD-13,1.402434347,8.91666666667,-83.9001779556
CH-06,CBD-03,1.242120629,7.76666666667,-83.6324548721
CH-06,CBD-07,1.506203304,12.35,-83.631483078
CH-06,CBD-06,1.74605251,10.7666666667,-83.5180511475
CH-06,CH-01,0.878618594,5.01666666667,-83.5091571808
CH-06,CH-02,0.445523007,2.88333333333,-83.4237937927
CH-06,CH-03,0.749994797,4.1,-82.9991436005
CH-06,CH-05,0.369715745,3.61666666667,-82.8764352798
CH-06,CBD-05,1.915686793,12.6833333333,-82.7202148438
CH-06,CD-01,1.136487559,5.41666666667,-82.684967041
CH-06,CBD-04,1.444687575,9.55,-82.3064768314
CH-07,BT-01,2.138758982,14.8833333333,-82.2855148315
CH-07,BT-03,2.14372995,14.2333333333,-81.640296936
CH-07,BT-04,1.545349677,9.5,-81.2959747314
CH-07,BT-05,1.724304525,13.75,-81.2919063568
CH-07,CBD-13,1.413619025,9.55,-81.2446558475
CH-07,CBD-03,1.253305307,8.4,-81.1929397583
CH-07,CBD-07,1.516766611,12.9833333333,-81.1690225601
CH-07,CBD-06,1.757237188,11.4,-80.9012994766
CH-07,CH-01,0.889803272,5.65,-80.4139933586
CH-07,CH-02,0.908444402,5.45,-80.3453903198
CH-07,CH-03,1.220372644,6.65,-80.2286987305
CH-07,CH-05,0.42253228,2.71666666667,-80.1452798843
CH-07,CH-06,0.464785508,3.1,-79.9890594482
CH-07,CBD-05,1.926871471,13.3166666667,-79.5466270447
CH-07,CD-01,1.147672237,6.01666666667,-79.4525260925
CH-07,CBD-04,1.434745639,10.1666666667,-79.3521723747
CH-08,BT-01,1.855413806,13.5,-79.3007202148
CH-08,BT-03,1.861006145,12.85,-79.1661472321
CH-08,BT-04,1.262004501,8.11666666667,-78.9671671391
CH-08,BT-05,1.440959349,12.3666666667,-78.8533630371
CH-08,CBD-13,1.130273849,8.15,-78.5780830383
CH-08,CBD-03,0.969960131,7.01666666667,-78.5607509613
CH-08,CBD-07,1.234042806,11.6,-78.1457176208
CH-08,CBD-06,1.473892012,10.0166666667,-77.6142349243
CH-08,CH-01,0.606458096,4.26666666667,-77.4977416992
CH-08,CH-02,0.591545192,3.88333333333,-77.4654655457
CH-08,CH-03,0.897259724,5.13333333333,-77.1302556992
CH-08,CH-05,0.64001213,6.48333333333,-77.0746836662
CH-08,CH-06,0.271539127,2.5,-77.0312767029
CH-08,CH-07,0.313170984,4.88333333333,-76.9554958344
CH-08,CBD-05,1.643526295,11.9333333333,-76.8265705109
CH-08,CD-01,0.984873035,5.65,-76.5695648193
CH-08,CBD-04,1.152021834,8.76666666667,-76.4036445618
CH-09,BT-01,1.674594845,12.05,-76.1222076416
CH-09,BT-03,1.680187184,11.4,-76.0684347153
CH-09,BT-04,1.081806911,6.66666666667,-75.9221382141
CH-09,BT-05,1.260761759,10.9166666667,-75.7483940125
CH-09,CBD-13,0.950076259,6.71666666667,-75.5251407623
CH-09,CBD-03,0.789762541,5.56666666667,-75.2812690735
CH-09,CBD-07,1.176876674,11.1,-75.0405693054
CH-09,CBD-06,1.293694422,8.56666666667,-74.6159191132
CH-09,CH-01,0.361016551,2.13333333333,-74.2468271255
CH-09,CH-02,0.525058495,4.25,-74.1261558533
CH-09,CH-03,0.686614955,4.81666666667,-74.0954151154
CH-09,CH-05,0.828908914,8.28333333333,-73.9791040421
CH-09,CH-06,0.49088309,4.85,-73.9022903442
CH-09,CH-07,0.502067768,6.68333333333,-73.7952232361
CH-09,CH-08,0.218722592,2.83333333333,-73.7909460068
CH-09,CBD-05,1.463328705,10.4833333333,-73.6446495056
CH-09,CD-01,1.173769819,7.45,-73.2476520538
CH-09,CBD-04,0.971202873,7.31666666667,-73.2230844498
CH-12,BT-01,1.45400814,10.8,-73.1850061417
CH-12,BT-03,1.459600479,10.15,-72.9564361572
CH-12,BT-04,0.860598835,5.41666666667,-72.9172830582
CH-12,BT-05,1.039553683,9.66666666667,-72.3290710449
CH-12,CBD-13,0.728868183,5.46666666667,-72.3094139099
CH-12,CBD-03,0.568554465,4.31666666667,-72.1612634659
CH-12,CBD-07,1.505581933,13.2,-72.0452156067
CH-12,CBD-06,1.072486346,7.31666666667,-72.0050430298
CH-12,CH-01,0.289558886,2.71666666667,-71.8847637177
CH-12,CH-02,0.777956492,8.05,-71.6385555267
CH-12,CH-03,0.607700838,4.86666666667,-71.6252632141
CH-12,CH-05,1.04390328,10.75,-71.1711349487
CH-12,CH-06,0.705877456,7.31666666667,-71.0604095459
CH-12,CH-07,0.717062134,9.15,-70.9075174332
CH-12,CH-08,0.433716958,5.3,-70.6920394897
CH-12,CH-09,0.253519368,3.58333333333,-70.6397943497
CH-12,CBD-05,1.242120629,9.23333333333,-70.5767345428
CH-12,CD-01,1.388764185,9.91666666667,-69.8837747574
CH-12,CBD-04,0.750616168,6.06666666667,-69.7275543213
CH-15,BT-01,2.514688437,16.0666666667,-69.7203826904
CH-15,BT-03,2.519659405,15.4166666667,-69.6473693848
CH-15,BT-04,1.921279132,10.6833333333,-69.6302185059
CH-15,BT-05,2.10023398,14.9333333333,-69.3110618591
CH-15,CBD-13,1.78954848,10.7333333333,-69.200012207
CH-15,CBD-03,1.629234762,9.58333333333,-69.0930175781
CH-15,CBD-07,1.895802921,14.1,-69.0397186279
CH-15,CBD-06,2.133166643,12.5833333333,-68.5855484009
CH-15,CH-01,0.72700407,4.71666666667,-68.2992458344
CH-15,CH-02,0.358531067,1.63333333333,-68.26354599
CH-15,CH-03,0.471620589,2.2,-68.2256662846
CH-15,CH-05,0.4349597,3.53333333333,-68.1381912231
CH-15,CH-06,0.387114133,1.81666666667,-67.8270301819
CH-15,CH-07,0.85749198,5.88333333333,-67.75157547
CH-15,CH-08,0.65865326,2.78333333333,-67.3891029358
CH-15,CH-09,0.877997223,4.7,-67.3527297974
CH-15,CH-12,1.092991589,5.51666666667,-67.1732196808
CH-15,CBD-05,2.302800926,14.5,-66.9567375183
CH-15,CD-01,1.523601692,7.25,-66.3331828117
CH-15,CBD-04,1.82683074,11.1,-66.3080596924
DPD-01,BT-01,1.132137962,11.2,-66.1113986969
DPD-01,BT-03,1.138351672,10.4166666667,-66.0015678406
DPD-01,BT-04,0.823937946,6.21666666667,-65.8607025146
DPD-01,BT-05,1.182469013,11.3333333333,-65.8036651611
DPD-01,CBD-13,1.19924603,11.0,-65.4119987488
DPD-01,CBD-03,1.13089522,10.25,-65.0274925232
DPD-01,CBD-07,1.97595978,18.7333333333,-64.9625682831
DPD-01,CBD-06,1.542864193,12.85,-64.3253974915
DPD-01,CH-01,1.527951289,15.5,-64.153049469
DPD-01,CH-02,1.98217349,20.1333333333,-63.9007472992
DPD-01,CH-03,1.524223063,15.8166666667,-63.8339099884
DPD-01,CH-05,2.248120278,22.8333333333,-63.7368850708
DPD-01,CH-06,1.910094454,19.4166666667,-63.7206840515
DPD-01,CH-07,1.921279132,21.2333333333,-63.6767349243
DPD-01,CH-08,1.637933956,17.3833333333,-63.6619911194
DPD-01,CH-09,1.457736366,15.6833333333,-63.3846549988
DPD-01,CH-12,1.23652829,12.8,-63.1871185303
DPD-01,CH-15,2.297208587,22.0833333333,-63.0494451523
DPD-01,CBD-05,1.712498476,14.7666666667,-63.049369812
DPD-01,CD-01,2.592981183,22.0,-62.9031486511
DPD-01,CBD-04,1.312956923,12.0166666667,-62.8840103149
DPD-03,BT-01,7.557114102,47.4166666667,-62.6808433533
DPD-03,BT-03,7.906324604,48.9166666667,-62.5061511993
DPD-03,BT-04,7.560220957,45.95,-62.1196405888
DPD-03,BT-05,8.182834699,51.45,-62.047908783
DPD-03,CBD-13,8.387265758,51.9666666667,-61.7474710941
DPD-03,CBD-03,7.867799602,49.9833333333,-61.6232585907
DPD-03,CBD-07,7.00285117,49.9333333333,-61.3896980286
DPD-03,CBD-06,8.730883921,53.8166666667,-61.3371582031
DPD-03,CH-01,5.83467369,40.55,-61.2667658329
DPD-03,CH-02,5.445074073,37.4666666667,-60.9308357239
DPD-03,CH-03,5.556920853,38.2166666667,-60.9096298218
DPD-03,CH-05,5.248099466,37.3166666667,-60.7097930908
DPD-03,CH-06,5.819139415,39.9333333333,-60.2271571159
DPD-03,CH-07,5.54884303,38.7833333333,-60.1660165787
DPD-03,CH-08,5.966404342,39.9,-59.9386520386
DPD-03,CH-09,5.950248696,40.25,-59.8982934952
DPD-03,CH-12,6.203146693,41.45,-59.8714294434
DPD-03,CH-15,5.443831331,38.5333333333,-59.8549876213
DPD-03,DPD-01,7.188019728,40.9666666667,-59.760017395
DPD-03,CBD-05,8.900518204,55.7333333333,-59.3742823601
DPD-03,CD-01,6.955626974,45.35,-59.1422739029
DPD-03,CBD-04,6.93450036,46.9166666667,-59.0857772827
EL-01,BT-01,1.421075477,13.7333333333,-58.9860534668
EL-01,BT-03,1.770285979,15.2333333333,-58.9838447571
EL-01,BT-04,1.310471439,10.6333333333,-58.6060028076
EL-01,BT-05,1.669002506,15.75,-58.1220817566
EL-01,CBD-13,1.685779523,15.4166666667,-58.1094017029
EL-01,CBD-03,1.618050084,14.6666666667,-57.9786376953
EL-01,CBD-07,2.462493273,23.15,-57.6770362854
EL-01,CBD-06,2.029397686,17.2666666667,-57.5577449799
EL-01,CH-01,1.700692427,18.0666666667,-57.4204406738
EL-01,CH-02,1.467056931,18.9166666667,-56.9064598083
EL-01,CH-03,1.206702482,15.6333333333,-56.7779846191
EL-01,CH-05,1.93867752,23.8166666667,-56.6442680359
EL-01,CH-06,2.082835592,21.9833333333,-56.6353759766
EL-01,CH-07,2.09402027,23.8,-56.6112289429
EL-01,CH-08,1.811296465,19.95,-56.5712499619
EL-01,CH-09,1.630477504,18.25,-56.4249534607
EL-01,CH-12,1.409890799,15.3666666667,-56.0279560089
EL-01,CH-15,1.507446046,20.4166666667,-55.7698249817
EL-01,DPD-01,0.486533493,4.41666666667,-55.7586479187
EL-01,DPD-03,6.831974145,38.1166666667,-55.5665588379
EL-01,CBD-05,2.199031969,19.1833333333,-55.3374595642
EL-01,CD-01,2.766343692,24.5833333333,-55.1192016602
EL-01,CBD-04,1.799490416,16.4166666667,-54.8860282898
EL-03,BT-01,2.042446477,16.7666666667,-54.6968269348
EL-03,BT-03,2.391656979,18.2666666667,-54.6892852783
EL-03,BT-04,1.93246381,13.6833333333,-54.0086402893
EL-03,BT-05,2.290994877,18.7833333333,-53.9131126404
EL-03,CBD-13,2.021941234,17.9333333333,-53.6878213882
EL-03,CBD-03,1.952969053,17.2166666667,-53.5013198853
EL-03,CBD-07,2.798654984,25.6666666667,-53.4200983047
EL-03,CBD-06,2.365559397,19.8,-53.3783876896
EL-03,CH-01,1.670245248,17.45,-53.0924091339
EL-03,CH-02,1.600030325,17.6,-53.0386695862
EL-03,CH-03,1.339054505,14.3166666667,-52.9797515869
